客户编号,客户年龄,历史总消费,售后互动次数,近一月活跃天,流失风险指数
UID-0311,41,11151.5,45,1,56.88
UID-0312,30,1625.09,39,15,28.07
UID-0313,39,1328.82,17,20,54.89
UID-0314,38,805.03,41,19,13.57
UID-0315,30,1253.31,19,29,26.49
UID-0316,29,941.55,5,10,57.64
UID-0317,36,2226.33,11,28,29.48
UID-0318,34,2854.64,1,18,51.16
UID-0319,28,499.7,6,28,52.66
UID-0320,35,289.68,15,3,81.18
UID-0321,46,174.83,2,11,66.67
UID-0322,39,1822.55,44,15,53.39
UID-0323,36,363.81,2,27,34.92
UID-0324,34,127.37,26,11,44.93
UID-0325,46,1617.41,49,17,46.2
UID-0326,34,13266.53,42,17,45.68
UID-0327,43,1090.0,39,6,53.83
UID-0328,37,2536.37,37,5,49.18
UID-0329,22,1190.14,32,8,70.71
UID-0330,41,993.38,27,2,53.07
UID-0331,32,2749.23,0,16,55.77
UID-0332,36,820.35,7,20,54.97
UID-0333,32,1432.81,36,24,50.02
UID-0334,39,1512.77,31,12,56.74
UID-0335,30,562.23,47,6,57.77
UID-0336,28,2957.33,42,1,57.1
UID-0337,35,920.61,36,4,67.25
UID-0338,45,515.05,3,17,60.89
UID-0339,36,1875.27,29,13,37.07
UID-0340,28,446.54,5,18,63.46
UID-0341,35,1127.98,45,5,65.35
UID-0342,24,1086.68,18,24,48.31
UID-0343,29,3248.33,31,24,35.17
UID-0344,36,1762.87,8,27,33.06
UID-0345,40,1069.53,11,3,53.56
UID-0346,35,2484.35,10,11,65.7
UID-0347,33,4403.73,45,13,54.72
UID-0348,28,1915.65,15,4,80.74
UID-0349,33,1108.05,0,26,55.05
UID-0350,37,295.35,44,27,24.35
UID-0351,39,378.0,20,14,65.9
UID-0352,30,808.17,29,22,47.64
UID-0353,41,596.15,12,11,59.76
UID-0354,38,909.62,33,27,36.92
UID-0355,26,1160.55,3,10,62.99
UID-0356,41,1862.53,27,19,50.29
UID-0357,38,1021.98,37,18,29.01
UID-0358,31,1783.8,30,6,49.69
UID-0359,29,1169.67,26,27,43.08
UID-0360,29,152.1,4,29,49.59
UID-0361,34,428.66,24,15,57.71
UID-0362,41,949.48,2,21,55.06
UID-0363,30,327.11,32,10,31.67
UID-0364,37,1998.05,3,5,75.66
UID-0365,37,5068.25,24,26,40.45
UID-0366,36,3709.91,19,29,28.95
UID-0367,40,885.86,33,5,55.44
UID-0368,43,4869.4,25,10,73.06
UID-0369,34,1272.41,4,28,41.94
UID-0370,31,782.83,34,5,65.3
UID-0371,37,593.83,27,3,75.17
UID-0372,28,810.4,28,23,28.02
UID-0373,27,743.84,8,6,73.43
UID-0374,31,1300.39,37,4,73.59
UID-0375,38,1287.65,49,18,53.16
UID-0376,29,1099.98,5,28,41.94
UID-0377,43,1697.54,18,9,61.72
UID-0378,37,3607.05,43,17,42.51
UID-0379,29,2834.31,10,29,40.06
UID-0380,34,248.42,1,13,78.84
UID-0381,35,85.29,46,27,14.36
UID-0382,28,2791.46,43,15,39.26
UID-0383,25,279.53,43,20,23.75
UID-0384,30,875.88,8,17,46.34
UID-0385,31,340.32,20,13,59.75
UID-0386,39,180.91,23,16,58.92
UID-0387,36,1884.58,33,22,31.21
UID-0388,39,2342.92,21,4,76.78
UID-0389,37,616.15,2,5,87.51
UID-0390,35,82.18,11,5,90.9
UID-0391,32,635.08,27,9,59.3
UID-0392,26,1622.63,29,17,39.45
UID-0393,39,249.91,25,13,44.89
UID-0394,38,1317.33,47,2,49.12
UID-0395,30,1079.97,20,13,68.03
UID-0396,41,1957.24,27,22,26.26
UID-0397,31,1235.93,25,21,53.91
UID-0398,32,414.44,32,27,22.01
UID-0399,45,3628.49,20,23,36.52
UID-0400,48,935.86,34,19,40.97
UID-0401,29,1067.1,33,3,57.35
UID-0402,43,431.27,40,10,60.95
UID-0403,41,703.96,46,2,77.85
UID-0404,38,452.69,17,13,51.94
UID-0405,30,922.47,10,19,48.06
UID-0406,47,6073.61,22,26,36.45
UID-0407,29,278.13,47,17,42.43
UID-0408,45,218.42,21,21,44.02
UID-0409,39,4775.1,16,14,70.69
UID-0410,45,889.51,4,12,77.59
UID-0411,47,561.68,43,21,23.77
UID-0412,42,3102.32,10,12,68.42
UID-0413,32,598.47,29,11,69.38
UID-0414,30,6809.06,14,7,62.81
UID-0415,25,2160.13,26,4,62.81
UID-0416,32,673.23,34,19,35.83
UID-0417,24,9483.5,32,1,62.11
UID-0418,36,598.42,19,28,19.52
UID-0419,32,2303.29,15,24,30.07
UID-0420,43,1479.25,33,29,28.78
UID-0421,30,4030.89,1,3,94.06
UID-0422,43,5226.57,34,13,44.69
UID-0423,43,1132.3,39,15,39.14
UID-0424,40,516.25,27,2,85.79
UID-0425,35,1737.1,46,11,36.3
UID-0426,40,556.84,38,4,45.39
UID-0427,34,8212.29,5,19,47.04
UID-0428,30,1257.07,8,29,32.42
UID-0429,32,761.03,19,17,34.2
UID-0430,31,1319.07,0,3,78.89
UID-0431,20,285.11,7,28,48.83
UID-0432,33,415.04,22,18,35.85
UID-0433,40,3642.46,2,8,73.67
UID-0434,33,568.56,3,22,55.33
UID-0435,47,384.94,24,25,37.69
UID-0436,37,1875.54,46,24,30.2
UID-0437,47,3589.27,37,26,32.71
UID-0438,37,2250.6,14,19,43.17
UID-0439,30,2969.2,20,5,81.92
UID-0440,30,514.5,34,7,69.93
UID-0441,40,264.59,45,21,44.92
UID-0442,33,4921.33,13,8,76.6
UID-0443,38,794.19,35,28,12.93
UID-0444,41,853.35,11,5,81.8
UID-0445,30,4138.94,16,17,58.49
UID-0446,37,1912.62,38,5,44.85
UID-0447,31,1730.02,8,4,72.78
UID-0448,42,9556.74,34,22,40.19
UID-0449,38,576.22,12,19,67.98
UID-0450,25,2773.43,14,27,45.25
UID-0451,33,1160.97,17,21,37.97
UID-0452,39,1434.53,32,2,83.24
UID-0453,25,5056.7,5,11,66.05
UID-0454,38,1822.27,26,22,38.53
UID-0455,42,1878.63,22,13,53.1
UID-0456,35,3205.13,26,15,35.2
UID-0457,41,761.32,33,12,51.25
UID-0458,38,473.8,45,22,36.65
UID-0459,31,385.75,37,21,32.78
UID-0460,41,153.49,13,22,51.54
UID-0461,39,8571.58,35,11,44.3
UID-0462,37,363.87,7,7,70.23
UID-0463,43,878.97,34,28,32.03
UID-0464,41,831.46,18,5,71.38
UID-0465,32,1491.3,29,17,30.77
UID-0466,28,2479.31,13,24,39.17
UID-0467,42,2592.75,19,20,63.69
UID-0468,37,612.12,48,9,44.32
UID-0469,37,927.86,24,14,53.51
UID-0470,40,1454.74,39,26,28.36
UID-0471,40,855.18,23,12,72.04
UID-0472,51,5471.71,13,6,83.86
UID-0473,37,1791.8,25,17,56.31
UID-0474,38,2286.73,37,19,30.69
UID-0475,31,2127.88,22,19,49.99
UID-0476,24,3545.64,21,26,41.73
UID-0477,32,1314.25,47,16,32.27
UID-0478,40,299.82,18,12,51.05
UID-0479,40,1635.47,45,12,62.8
UID-0480,35,571.72,2,20,52.2
UID-0481,38,646.38,41,6,72.3
UID-0482,34,1971.13,18,23,52.56
UID-0483,28,3783.04,8,26,46.82
UID-0484,38,1120.21,27,4,70.74
UID-0485,25,1493.43,19,6,52.68
UID-0486,38,6016.22,44,11,50.16
UID-0487,48,1395.14,6,1,95.34
UID-0488,34,14789.65,13,24,50.49
UID-0489,34,1930.45,8,23,49.27
UID-0490,33,188.53,18,15,70.83
UID-0491,44,2329.34,46,27,23.0
UID-0492,29,1605.45,13,11,56.24
UID-0493,38,3982.85,37,25,32.87
UID-0494,43,2149.91,35,19,48.82
UID-0495,52,954.84,39,18,25.37
UID-0496,40,322.37,16,17,55.9
UID-0497,27,889.78,29,19,50.58
UID-0498,45,468.47,8,21,49.14
UID-0499,41,613.68,32,14,60.52
UID-0500,27,1975.5,24,27,39.85
