学号,性别,所属学院,高等数学,大学英语,Python程序设计,体育测试
STU20240195,男,文法学院,64.4,84.6,67.9,69.5
STU20240196,男,机电学院,70.5,86.0,80.4,80.9
STU20240197,男,理学院,50.9,67.8,52.7,84.6
STU20240198,女,机电学院,72.8,81.1,81.4,69.8
STU20240199,男,理学院,88.9,60.1,89.9,78.4
STU20240200,女,计算机学院,78.7,77.3,89.7,77.6
STU20240201,男,计算机学院,33.1,55.7,40.2,74.9
STU20240202,男,商学院,74.7,80.8,83.8,84.8
STU20240203,女,理学院,88.1,72.6,89.1,72.7
STU20240204,男,计算机学院,50.5,86.7,62.5,73.2
STU20240205,女,计算机学院,81.0,71.1,80.7,73.3
STU20240206,女,文法学院,66.8,76.4,68.6,73.7
STU20240207,女,机电学院,57.6,66.7,67.3,87.3
STU20240208,男,计算机学院,88.0,60.5,94.1,88.0
STU20240209,女,机电学院,88.9,89.4,87.3,77.4
STU20240210,男,计算机学院,89.6,59.1,94.3,85.7
STU20240211,男,商学院,91.5,95.4,93.0,78.2
STU20240212,女,机电学院,84.6,71.7,89.5,72.2
STU20240213,女,商学院,100.0,67.9,97.0,86.5
STU20240214,男,文法学院,86.3,80.1,89.2,80.5
STU20240215,女,文法学院,62.5,71.4,68.8,61.8
STU20240216,男,计算机学院,63.7,53.1,66.7,73.6
STU20240217,女,理学院,71.6,85.3,85.7,73.7
STU20240218,男,文法学院,44.5,88.1,54.8,71.6
STU20240219,男,商学院,80.6,70.9,84.3,81.7
STU20240220,女,商学院,52.1,61.0,57.5,64.0
STU20240221,女,文法学院,59.4,75.7,76.7,63.9
STU20240222,女,文法学院,53.9,69.4,68.7,74.1
STU20240223,男,文法学院,41.9,100.0,47.8,78.5
STU20240224,男,商学院,67.5,55.4,67.6,90.6
STU20240225,男,计算机学院,55.5,77.5,64.3,86.7
STU20240226,男,商学院,80.9,92.0,80.7,75.1
STU20240227,女,商学院,59.0,68.9,73.5,65.3
STU20240228,女,计算机学院,70.0,56.2,74.8,84.6
STU20240229,男,文法学院,48.8,51.6,51.4,86.4
STU20240230,男,文法学院,80.9,69.6,72.0,87.0
STU20240231,男,理学院,90.9,91.7,96.2,72.5
STU20240232,男,计算机学院,75.6,61.9,75.4,74.2
STU20240233,男,商学院,67.6,69.0,71.7,87.8
STU20240234,男,计算机学院,79.0,73.9,79.9,73.6
STU20240235,男,机电学院,76.4,58.3,89.0,77.8
STU20240236,男,理学院,58.4,62.6,73.9,75.1
STU20240237,男,理学院,70.8,81.6,76.1,83.3
STU20240238,男,理学院,70.4,83.3,75.8,90.2
STU20240239,男,文法学院,65.9,73.0,69.7,75.3
STU20240240,男,计算机学院,68.0,86.3,75.9,88.9
STU20240241,女,计算机学院,67.7,66.4,73.0,91.9
STU20240242,女,计算机学院,60.0,79.9,63.9,72.3
STU20240243,男,理学院,52.8,61.8,60.7,73.4
STU20240244,女,商学院,86.1,88.5,90.2,83.4
STU20240245,女,理学院,78.9,83.0,84.2,76.0
STU20240246,男,理学院,41.1,40.4,52.0,69.0
STU20240247,男,文法学院,66.5,71.3,75.5,85.9
STU20240248,女,机电学院,51.7,89.3,59.4,71.8
STU20240249,男,商学院,100.0,44.8,95.3,85.2
STU20240250,男,机电学院,71.8,68.1,76.3,93.1
STU20240251,男,文法学院,61.2,89.9,61.0,80.8
STU20240252,女,商学院,77.0,95.3,84.4,79.5
STU20240253,男,商学院,77.3,62.8,83.5,75.4
STU20240254,男,文法学院,66.0,74.9,73.1,95.3
STU20240255,女,计算机学院,74.7,67.0,80.3,75.6
STU20240256,男,文法学院,79.8,99.7,82.8,78.3
STU20240257,男,商学院,75.1,71.4,84.2,79.4
STU20240258,男,理学院,66.0,84.0,77.9,97.4
STU20240259,女,机电学院,61.7,62.7,65.6,84.6
STU20240260,男,文法学院,92.9,77.8,97.0,74.1
STU20240261,女,商学院,56.4,56.7,68.4,76.4
STU20240262,男,计算机学院,61.4,66.4,69.5,65.8
STU20240263,男,计算机学院,76.6,82.0,90.0,78.2
STU20240264,女,计算机学院,63.2,84.7,71.4,71.2
STU20240265,男,文法学院,63.5,64.6,60.5,91.6
STU20240266,女,理学院,74.4,69.8,80.1,85.1
STU20240267,男,机电学院,71.4,73.1,71.4,89.5
STU20240268,男,文法学院,63.5,66.2,67.2,92.4
STU20240269,男,文法学院,66.0,72.7,70.8,78.0
STU20240270,女,机电学院,33.6,87.5,46.9,82.3
STU20240271,女,商学院,72.3,75.0,83.2,58.9
STU20240272,女,文法学院,51.4,89.6,59.9,72.7
STU20240273,男,商学院,44.8,73.7,51.5,92.0
STU20240274,男,机电学院,57.7,78.6,53.9,83.5
STU20240275,男,商学院,85.1,66.3,91.6,80.3
STU20240276,男,计算机学院,86.0,72.3,91.5,87.0
STU20240277,女,理学院,100.0,89.7,100.0,75.7
STU20240278,男,理学院,60.2,73.9,70.1,66.8
STU20240279,男,商学院,72.2,87.0,76.9,76.9
STU20240280,男,商学院,72.7,90.0,82.2,80.2
STU20240281,男,文法学院,65.3,72.9,73.4,77.0
STU20240282,男,商学院,73.3,70.4,81.6,71.1
STU20240283,女,计算机学院,68.9,78.2,66.0,76.0
STU20240284,男,计算机学院,54.4,72.1,66.2,69.3
STU20240285,男,计算机学院,75.9,100.0,77.2,79.1
STU20240286,男,计算机学院,59.4,64.0,67.4,76.1
STU20240287,男,理学院,74.6,80.3,70.5,82.7
STU20240288,女,理学院,85.9,73.8,90.5,66.5
STU20240289,女,理学院,100.0,83.5,97.9,64.7
STU20240290,女,理学院,71.5,74.3,79.5,71.4
STU20240291,男,商学院,88.9,88.6,87.7,81.4
STU20240292,女,文法学院,72.1,69.5,76.0,75.9
STU20240293,男,理学院,63.7,88.8,81.9,69.0
STU20240294,男,理学院,74.8,90.6,91.2,72.2
STU20240295,男,商学院,74.7,70.7,81.1,75.9
STU20240296,男,理学院,65.0,71.7,72.3,70.4
STU20240297,男,计算机学院,80.3,81.9,91.6,73.8
STU20240298,女,计算机学院,61.8,85.2,77.8,82.9
STU20240299,女,计算机学院,47.1,69.9,55.8,67.2
STU20240300,女,计算机学院,66.0,77.7,78.1,83.0
STU20240301,男,商学院,43.1,51.5,60.5,81.7
STU20240302,男,文法学院,57.6,57.4,59.8,72.8
STU20240303,男,计算机学院,57.6,87.3,61.8,67.1
STU20240304,女,理学院,70.3,60.8,71.5,68.7
STU20240305,男,机电学院,76.7,64.6,82.7,71.3
STU20240306,男,文法学院,92.3,75.7,89.6,79.5
STU20240307,女,商学院,100.0,73.5,100.0,64.6
STU20240308,女,文法学院,72.6,100.0,74.5,66.7
STU20240309,女,文法学院,50.8,78.3,59.9,80.6
STU20240310,女,文法学院,82.6,82.5,90.7,67.3
STU20240311,男,理学院,63.7,76.5,69.5,75.7
STU20240312,女,机电学院,77.8,72.8,85.0,81.8
STU20240313,男,理学院,71.6,79.1,71.3,85.6
STU20240314,女,机电学院,65.0,61.7,76.0,82.1
STU20240315,女,商学院,71.5,80.7,80.6,79.9
STU20240316,男,理学院,58.7,73.1,64.0,82.8
STU20240317,男,机电学院,85.9,90.9,88.5,93.2
STU20240318,男,理学院,76.7,57.4,79.1,68.7
STU20240319,男,文法学院,80.2,97.6,85.3,83.6
STU20240320,男,理学院,86.2,83.3,88.0,80.6
STU20240321,女,理学院,74.7,65.0,88.7,86.0
STU20240322,男,理学院,92.8,71.6,93.1,84.4
STU20240323,女,理学院,58.4,86.8,66.2,68.8
STU20240324,女,计算机学院,65.5,80.1,68.3,76.8
STU20240325,男,机电学院,49.0,78.3,60.0,74.1
STU20240326,女,商学院,66.6,88.6,77.6,63.4
STU20240327,男,商学院,82.6,75.9,84.2,91.3
STU20240328,女,商学院,57.0,51.8,63.2,57.9
STU20240329,男,理学院,61.0,71.5,69.4,93.1
STU20240330,女,文法学院,53.0,73.8,64.3,100.0
STU20240331,男,商学院,80.0,62.1,91.8,86.2
STU20240332,男,文法学院,91.7,73.7,90.4,71.5
STU20240333,男,机电学院,100.0,58.2,100.0,72.8
STU20240334,女,理学院,69.0,71.4,73.1,64.4
STU20240335,女,机电学院,74.9,77.7,69.1,84.4
STU20240336,男,商学院,77.8,91.9,82.6,84.1
STU20240337,女,理学院,53.8,58.0,64.8,76.5
STU20240338,男,理学院,66.7,70.0,74.7,77.4
STU20240339,女,理学院,72.7,66.7,82.3,77.8
STU20240340,男,计算机学院,32.6,56.0,43.2,82.5
STU20240341,女,商学院,55.0,70.8,54.7,66.3
STU20240342,男,机电学院,73.2,67.7,73.9,78.1
STU20240343,男,机电学院,88.4,85.6,84.4,76.4
STU20240344,男,计算机学院,45.9,67.7,56.7,82.0
STU20240345,男,理学院,58.1,83.0,62.0,79.6
STU20240346,男,商学院,60.1,61.3,68.5,73.5
STU20240347,女,计算机学院,77.7,68.2,78.1,79.4
STU20240348,男,文法学院,71.8,59.2,74.8,84.7
STU20240349,男,机电学院,54.1,85.0,67.3,77.3
STU20240350,男,机电学院,68.2,70.4,75.4,73.9
STU20240351,女,机电学院,100.0,63.7,100.0,89.1
STU20240352,男,文法学院,59.4,48.8,77.1,83.6
STU20240353,男,计算机学院,62.9,94.1,71.1,87.8
STU20240354,男,机电学院,77.7,86.7,78.5,86.3
STU20240355,女,计算机学院,83.4,65.4,85.7,68.8
STU20240356,男,理学院,88.4,86.1,81.0,80.5
STU20240357,男,计算机学院,75.6,87.8,87.1,85.8
STU20240358,男,商学院,45.9,68.4,49.1,78.1
STU20240359,女,商学院,81.2,92.6,88.1,83.0
STU20240360,女,机电学院,45.4,53.4,51.8,72.7
STU20240361,男,计算机学院,50.0,67.5,60.1,77.6
STU20240362,女,机电学院,81.6,59.6,75.7,82.7
STU20240363,女,计算机学院,71.1,60.0,82.0,55.6
STU20240364,女,机电学院,52.8,70.1,65.2,85.2
STU20240365,女,商学院,58.9,95.7,77.8,77.2
STU20240366,女,机电学院,30.7,83.1,38.0,75.5
STU20240367,女,商学院,62.0,80.2,67.8,63.8
STU20240368,男,商学院,73.3,71.0,78.9,91.5
STU20240369,女,商学院,39.9,88.4,44.7,78.4
STU20240370,男,商学院,100.0,74.8,100.0,82.5
STU20240371,女,文法学院,70.9,66.3,77.3,78.2
STU20240372,男,商学院,80.3,87.9,79.8,83.1
STU20240373,男,理学院,69.1,71.8,78.0,77.5
STU20240374,男,商学院,63.4,75.6,72.7,77.9
STU20240375,男,理学院,55.9,76.3,70.4,86.6
STU20240376,女,计算机学院,81.8,78.9,85.1,72.5
STU20240377,女,商学院,65.1,90.6,75.0,87.0
STU20240378,女,理学院,96.4,65.8,100.0,62.6
STU20240379,男,文法学院,95.8,84.1,97.5,83.2
STU20240380,男,机电学院,61.1,65.8,75.3,80.1
STU20240381,女,机电学院,72.4,87.6,74.1,64.7
STU20240382,女,商学院,72.0,91.4,90.6,73.1
STU20240383,男,文法学院,78.1,79.3,72.4,82.4
STU20240384,男,计算机学院,100.0,79.9,100.0,75.2
STU20240385,女,文法学院,69.9,98.9,79.8,69.6
STU20240386,男,计算机学院,74.5,36.6,79.0,81.9
STU20240387,男,机电学院,76.7,82.0,85.4,78.9
STU20240388,女,机电学院,71.8,46.2,76.9,79.9
STU20240389,女,理学院,41.9,83.9,50.1,67.0
STU20240390,男,计算机学院,63.9,63.4,65.4,77.5
STU20240391,男,理学院,81.1,77.7,91.0,86.2
STU20240392,男,文法学院,64.9,72.1,67.3,83.3
STU20240393,男,理学院,65.5,62.9,70.8,70.6
STU20240394,女,理学院,83.6,85.8,85.3,93.8
STU20240395,女,计算机学院,84.2,72.1,89.8,75.7
STU20240396,男,机电学院,51.0,80.8,59.6,78.5
STU20240397,男,理学院,82.0,77.2,90.8,82.4
STU20240398,男,理学院,68.9,70.5,80.4,91.6
STU20240399,女,机电学院,83.6,77.3,88.6,55.9
STU20240400,女,商学院,83.2,67.7,89.3,84.7
STU20240401,女,文法学院,66.1,66.8,73.3,65.3
STU20240402,女,文法学院,67.8,73.1,74.5,75.2
STU20240403,男,商学院,79.3,90.8,84.9,91.3
STU20240404,女,机电学院,83.6,65.1,91.9,74.9
STU20240405,男,计算机学院,63.4,63.4,66.9,69.8
STU20240406,男,文法学院,37.1,74.6,52.7,84.9
STU20240407,男,理学院,73.9,75.7,75.5,75.6
STU20240408,女,文法学院,74.8,95.5,81.3,56.9
STU20240409,男,理学院,50.9,79.8,68.5,65.8
STU20240410,男,商学院,82.2,58.0,84.2,78.4
STU20240411,女,商学院,78.6,88.6,80.7,67.7
STU20240412,男,商学院,35.7,78.1,51.4,73.0
STU20240413,女,计算机学院,60.1,79.1,67.4,66.9
STU20240414,男,文法学院,44.3,61.9,49.8,91.2
STU20240415,男,理学院,50.2,60.2,58.4,79.5
STU20240416,男,文法学院,38.7,86.3,48.8,79.5
STU20240417,女,理学院,63.6,81.6,74.5,73.5
STU20240418,女,商学院,63.1,81.8,80.7,69.2
STU20240419,男,文法学院,71.5,89.0,80.3,76.3
STU20240420,男,理学院,75.1,77.3,83.0,90.2
STU20240421,男,机电学院,62.6,75.7,64.2,76.7
STU20240422,女,商学院,68.9,81.7,76.1,81.7
STU20240423,男,理学院,85.7,92.8,84.2,76.6
STU20240424,女,计算机学院,72.2,83.0,79.2,79.9
STU20240425,女,计算机学院,54.5,76.4,63.4,69.7
STU20240426,女,计算机学院,88.9,53.7,94.2,89.6
STU20240427,女,理学院,68.2,78.3,79.7,74.6
STU20240428,男,文法学院,73.9,72.6,79.8,88.8
STU20240429,男,计算机学院,78.0,85.0,89.8,71.2
STU20240430,男,文法学院,76.8,67.1,84.2,86.5
STU20240431,男,文法学院,32.1,63.3,45.1,87.7
STU20240432,男,文法学院,38.8,63.6,58.3,86.3
STU20240433,女,文法学院,65.1,57.9,70.1,79.5
STU20240434,女,机电学院,76.8,67.9,83.2,79.7
STU20240435,女,商学院,86.9,83.3,85.8,63.9
STU20240436,女,理学院,90.5,78.2,98.2,66.2
STU20240437,男,文法学院,100.0,82.5,100.0,80.2
STU20240438,男,理学院,87.3,90.8,92.6,100.0
STU20240439,女,机电学院,77.3,80.8,85.3,80.6
STU20240440,男,机电学院,76.8,76.8,77.3,80.0
STU20240441,女,机电学院,51.4,81.7,59.9,67.5
STU20240442,男,理学院,65.8,81.8,68.3,94.7
STU20240443,女,理学院,70.4,73.7,79.4,70.8
STU20240444,女,计算机学院,59.3,49.9,73.0,67.0
STU20240445,男,商学院,77.3,80.7,83.8,90.3
STU20240446,女,理学院,49.0,80.9,57.7,82.6
STU20240447,男,计算机学院,88.4,61.2,88.9,88.1
STU20240448,男,理学院,53.3,66.5,61.6,74.7
STU20240449,女,文法学院,90.1,93.8,91.8,61.4
STU20240450,女,商学院,66.0,81.4,75.7,52.8
STU20240451,男,机电学院,40.1,71.0,54.6,86.6
STU20240452,女,计算机学院,65.0,59.1,69.9,78.6
STU20240453,男,机电学院,86.2,80.9,85.5,83.0
STU20240454,男,计算机学院,77.4,73.9,74.4,84.6
STU20240455,女,理学院,58.2,76.5,65.1,80.7
STU20240456,男,计算机学院,60.4,98.8,60.8,93.7
STU20240457,男,理学院,67.1,72.1,71.3,81.6
STU20240458,女,机电学院,81.8,91.2,79.1,76.0
STU20240459,男,商学院,51.0,40.3,64.0,82.2
STU20240460,女,计算机学院,83.4,81.0,86.9,67.4
STU20240461,男,商学院,51.4,69.2,62.0,92.0
STU20240462,女,文法学院,48.4,66.9,54.3,67.5
STU20240463,女,计算机学院,72.3,77.0,80.5,70.8
STU20240464,女,计算机学院,57.5,65.3,61.8,62.4
STU20240465,女,文法学院,100.0,70.2,100.0,81.1
STU20240466,女,文法学院,59.5,72.6,73.4,77.6
STU20240467,女,理学院,72.6,47.2,77.8,90.7
STU20240468,女,文法学院,69.1,92.4,73.7,74.9
STU20240469,男,理学院,50.0,71.6,63.2,80.6
STU20240470,男,机电学院,63.1,54.0,65.9,79.4
STU20240471,男,文法学院,98.6,67.6,98.7,62.1
STU20240472,女,文法学院,94.7,75.9,90.2,72.4
STU20240473,男,商学院,82.9,76.6,83.8,91.3
STU20240474,女,商学院,97.9,75.6,97.9,65.6
STU20240475,男,计算机学院,88.5,65.3,87.3,80.9
STU20240476,男,计算机学院,59.6,73.8,67.6,82.9
STU20240477,女,机电学院,63.4,67.7,61.4,83.4
STU20240478,女,机电学院,100.0,63.7,100.0,80.0
STU20240479,男,机电学院,79.6,59.3,80.5,87.3
STU20240480,男,计算机学院,80.6,72.8,81.9,73.0
STU20240481,男,理学院,50.7,88.1,58.4,86.7
STU20240482,男,文法学院,70.8,73.4,80.4,71.9
STU20240483,女,计算机学院,92.9,80.7,93.9,63.8
